player,college,position,grade,height,arm_length,weight,hand_length,yard_time,bench_press,vertical_jump,broad_jump,cone_drill,yard_shuttle
"Joyner, Lamarcus",Florida St.,DB,5.24,68,31.5,184,9.5,4.55,14,37.5,124,7.26,4.4
"Kennard, Devon",USC,LB,5.1,75,33.375,249,9.375,4.7,23,30,113,7.25,4.32
"Kerr, Zachariah",Delaware,DL,5.1,73,32.875,326,9.75,5.08,28,28.5,99,7.93,
"Kirksey, Christian",Iowa,LB,5.2,74,32.375,233,9.375,,16,32,122,,
"Kouandjio, Cyrus",Alabama,OL,5.75,79,35.625,322,10.25,5.59,21,27.5,96,7.71,4.84
"Ladler, Kenny",Vanderbilt,S,4.95,72,31.625,207,9.625,4.7,24,36.5,127,,
"Landry, Jarvis",LSU,WO,5.6,71,31.75,205,10.25,4.77,12,28.5,110,,
"Larsen, Tyler",Utah St.,OL,5.2,76,31.5,313,9.25,,36,23.5,102,8.22,4.7
"Latimer, Cody",Indiana,WO,5.24,74,32.625,215,9.625,,23,,,,
"Lawrence, Demarcus",Boise St.,DL,6.1,75,33.75,251,11,4.8,20,34.5,113,7.46,
"Lawson, Nevin",Utah St.,DB,4.8,69,31.5,190,9,4.48,16,33,120,7.12,4.4
"Lee, Marqise",USC,WO,6.2,72,31.75,192,9.5,4.52,,38,127,,4.01
"Leno Jr., Charles",Boise St.,OL,5.25,76,34.375,303,10.125,,21,29,108,7.57,4.4
"Leonard, A.C.",Tennessee St.,TE,5.03,74,33,252,9.25,4.5,20,34,128,,
"Leone, Richie",Houston,ST/P,4.95,75,31.75,211,8.875,,,,,,
"Lewan, Taylor",Michigan,OL,6.18,79,33.875,309,9.25,4.87,29,30.5,117,7.39,4.49
"Lewis, Isaiah",Michigan St.,S,5.18,70,31.5,211,9.625,4.6,15,36.5,122,7.05,4.47
"Linder, Brandon",Miami,OL,5.26,78,34.5,311,10.25,5.35,30,26.5,100,,
"Linsley, Corey",Ohio St.,OL,5.1,75,32,296,9.875,,36,27,,,
"Lokombo, Boseko",Oregon,LB,5.1,74,33.375,225,9.875,4.66,,,122,7.15,4.3
"Long, Spencer",Nebraska,OL,5.26,77,33.125,320,10.75,,,,,,
"Loston, Craig",LSU,S,5.55,71,30.75,217,9.75,4.65,12,32.5,119,7.15,4.35
"Lucas, Luke",Kansas St.,OL,5.16,80,36.75,316,10,,,,,,
"Lucas, Marcus",Missouri,WO,5.1,76,33.625,218,9.375,4.6,20,36,124,7.07,4.25
"Lyerla, Colt",Oregon,TE,5.33,76,32.75,242,10.25,4.61,15,39,128,,
"Lynch, Aaron",South Florida,DL,5.24,77,34,249,10.25,,18,,,,
"Lynch, Arthur",Georgia,TE,5.1,77,32.5,258,10.125,4.82,28,29.5,116,7.38,4.35
"Lynch, Jordan",Northern Illinois,QB,5.05,72,29.75,217,8.875,4.76,,29.5,109,6.55,4.2
"Mack, Khalil",Buffalo,LB,6.7,75,33.25,251,10.25,4.65,23,40,128,7.08,4.18
"Mandell, Cody",Alabama,ST/P,5.09,74,31.125,216,9.75,4.89,,27,,,
"Manumaleuna, Eathyn",BYU,DL,5.15,74,32.25,296,10,5.16,29,28,101,7.78,
"Manziel, Johnny",Texas A&M,QB,5.9,71.75,31.375,207,9.875,4.68,,31.5,113,6.75,4.03
"Marsh, Cassius",UCLA,DL,5.37,76,32.75,252,9.5,4.89,14,32,108,7.08,
"Martin, Kareem",North Carolina,DL,5.26,78,35,272,10,4.72,22,35.5,129,7.2,
"Martin, Marcus",USC,OL,5.5,75,34,320,10,,23,,,,
